Designator,Mid X,Mid Y,Rotation,Layer
BL1,66.065,-28.43,270.0,top
C1,58.255,-36.08,90.0,top
C2,58.255,-32.04,90.0,top
C3,58.295,-22.31,270.0,top
C4,58.295,-26.44,270.0,top
J1,48.43,-45.0,90.0,top
J2,32.94,-45.0,90.0,top
J3,74.31,-30.645,0.0,top
R1,67.32,-33.3225,90.0,top
R10,36.117158,-22.1875,270.0,top
R11,39.128578,-22.1875,90.0,top
R12,42.139999,-22.17,90.0,top
R13,54.895,-27.39,180.0,top
R3,55.025,-37.03,180.0,top
R4,55.025,-31.09,180.0,top
R5,51.695,-34.06,90.0,top
R6,54.895,-21.36,180.0,top
R7,51.425,-24.375,270.0,top
R8,33.105738,-22.1875,270.0,top
R9,30.094318,-22.1875,90.0,top
TR1,39.33,-31.49,0.0,top
